category,mx,my,sx,sy,b
0,-1.2059629422293427,-0.21596509127955354,3.5598299922803824,4.752782645150083,2.0
1,,,,,
2,-0.2719821124479019,-0.09356356143728917,5.2496109773482,5.927369127588248,4.0
3,-0.917821683643759,1.0360433732917682,2.952211852916148,12.65687793596594,2.0
4,-1.4398911670302559,-0.9773037293126856,7.69218980951617,16.189173686580585,4.0
5,,,,,
6,-3.2148634474083,-1.5600138203264704,2.945795021310433,3.269590787245149,2.0
7,-0.3996214251000274,-0.5297622941886962,5.494713481959431,3.8353573775340055,2.0
8,-0.7996663557464608,2.304188897078266,7.152909344647871,22.032779109063913,2.0
9,-0.9854608379604701,0.7808889332308545,4.694373920974595,11.558330395794945,2.0
10,,,,,
11,0.1639741907493567,-0.37827609098200454,1.895822092187304,2.198324715132525,2.0
12,,,,,
13,5.287808297665473,6.392892568902049,5.417909228561944,20.390211704373392,2.0
